Year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
2000,10 552,8 483,7 258,6 547,5 626,4 528,3 667,3 098,2 602,2 178,1 802,1 528,1 201,882,590,341,156,51,11,1,0
2001,10 869,8 728,7 406,6 660,5 799,4 709,3 778,3 175,2 667,2 232,1 834,1 566,1 230,904,604,349,160,52,11,1,0
2002,11 218,8 975,7 577,6 761,5 961,4 894,3 904,3 252,2 734,2 288,1 871,1 601,1 259,927,618,357,163,53,11,1,0
2003,11 592,9 220,7 772,6 855,6 110,5 085,4 041,3 332,2 804,2 345,1 917,1 627,1 289,952,633,365,167,55,11,1,0
2004,11 968,9 479,7 982,6 960,6 245,5 273,4 194,3 417,2 875,2 403,1 980,1 639,1 321,976,649,373,171,56,12,1,0
2005,12 332,9 765,8 206,7 084,6 364,5 447,4 359,3 510,2 946,2 462,2 041,1 655,1 354,1 001,665,382,175,58,12,1,0
