Year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
2000,10 871,8 705,7 423,6 682,5 730,4 588,3 703,3 116,2 593,2 137,1 778,1 492,1 141,814,526,289,122,34,6,0,0
2001,11 197,8 960,7 585,6 797,5 904,4 773,3 818,3 197,2 661,2 195,1 796,1 530,1 170,835,539,296,125,36,6,0,0
2002,11 555,9 216,7 771,6 902,6 069,4 962,3 948,3 279,2 733,2 253,1 821,1 565,1 199,858,553,304,129,37,6,0,0
2003,11 938,9 467,7 980,7 002,6 219,5 155,4 089,3 362,2 807,2 313,1 860,1 588,1 229,882,567,311,132,38,6,0,0
2004,12 321,9 730,8 205,7 116,6 355,5 344,4 244,3 450,2 883,2 373,1 917,1 595,1 261,906,582,320,136,39,6,1,0
2005,12 692,10 025,8 443,7 252,6 474,5 517,4 412,3 545,2 958,2 434,1 975,1 603,1 295,930,598,328,140,41,7,1,0
